t [s],uRight_1 [N*cm],uRight_2 [N*cm],uLeft_1 [N*cm],uLeft_2 [N*cm],x_CoM [mm],z_CoM [mm],F_dist [N]
14.01600000000001,12.22631872300814,4.141923654193203,-41.76386653692909,8.648206764739784,0.9457978688884401,219.49082786894203,4.379999999999951
14.04800000000001,12.291485778161167,4.076758859892711,-41.94292931767775,8.759655199430311,0.950839031586864,219.49084509754397,4.389999999999951
14.08000000000001,12.34706394827971,4.0211831531987805,-42.117708331508595,8.862235962240703,0.955138421783188,219.49085957447733,4.399999999999951
14.11200000000001,12.411721853406595,3.9565277945373767,-42.296557062556886,8.972610017317251,0.9601401978910463,219.49087616680453,4.40999999999995
14.14400000000001,12.466840886873381,3.9014115048804023,-42.47101719801479,9.075439068249803,0.9644040704081248,219.49089009815336,4.41999999999995
14.17600000000001,12.53104042507589,3.8372147947893662,-42.649568205651754,9.185392405217868,0.969370388380949,219.4909060786488,4.42999999999995
14.20800000000001,12.585451734973798,3.782806512860119,-42.82343843542692,9.28818811043572,0.9735795131478361,219.49091941422589,4.43999999999995
14.24000000000001,12.645504427432936,3.722756949660905,-42.99979694398453,9.394126439052233,0.9782250413592006,219.49093391158277,4.4499999999999496
14.272000000000011,12.705497264784263,3.662767381992621,-43.17692231397419,9.501437101905678,0.9828659393270147,219.49094816261965,4.459999999999949
14.304000000000011,12.766167382006987,3.6021006746434674,-43.35418056987135,9.608068553214713,0.9875592299956508,219.4909623389038,4.469999999999949
14.336000000000011,12.825706740566314,3.5425648683341,-43.53112214208867,9.714360600527554,0.9921650479622988,219.49097602046302,4.479999999999949
14.368000000000011,12.885499809646655,3.4827754886542737,-43.70774101715579,9.821519212959618,0.996790492349256,219.49098953062818,4.489999999999949
14.400000000000011,12.945105664337708,3.4231734653097674,-43.88483495863747,9.927187784172153,1.001401454292689,219.49100276935073,4.4999999999999485
14.432000000000011,12.999801023406842,3.3684820963980884,-44.05902903790198,10.030151945763697,1.0056325524030567,219.49101471571365,4.509999999999948
14.464000000000011,13.065330833038741,3.302956356816631,-44.23898003620991,10.140602456667363,1.0107017768934898,219.49102877596155,4.519999999999948
14.496000000000011,13.12058380843747,3.247707652669761,-44.413881221396004,10.243504315763722,1.014976010828151,219.49104041543916,4.529999999999948
14.528000000000011,13.180797277062437,3.1874985559998166,-44.59074709157164,10.350914095246093,1.0196339762872635,219.49105287658443,4.539999999999948
14.560000000000011,13.241484492518603,3.126815853835406,-44.76880505373184,10.457526221659096,1.0243285896330785,219.49106519961123,4.549999999999947
14.592000000000011,13.30180490228274,3.06650009660142,-44.946147253172825,10.565153195741956,1.028994827795023,219.49107721314098,4.559999999999947
14.624000000000011,13.361789659841383,3.0065201330255564,-45.12380512190403,10.671157215754503,1.0336351007299982,219.49108892747037,4.569999999999947
14.656000000000011,13.421422994377302,2.9468917292501833,-45.30067182101331,10.77815577283344,1.0382481884464698,219.49110034350295,4.579999999999947
14.688000000000011,13.480559558123383,2.8877602369061526,-45.47771701401088,10.884021243873194,1.0428228471995724,219.49111143827315,4.589999999999947
14.720000000000011,13.54050751156767,2.8278174909895024,-45.65481880686261,10.989943424516078,1.0474602730590121,219.49112245554625,4.599999999999946
14.752000000000011,13.595275201005016,2.7730551663094523,-45.829434980760105,11.092931780236787,1.0516969664683136,219.49113231793865,4.609999999999946
14.784000000000011,13.660665862607665,2.7076699492152554,-46.00973391418479,11.203269819271663,1.0567554268103136,219.49114384171804,4.619999999999946
14.816000000000011,13.716002904660431,2.65233854771312,-46.18521488384017,11.30691269185701,1.0610361639340404,219.49115337758124,4.629999999999946
14.848000000000011,13.780469712202533,2.5878774639497744,-46.36498787919178,11.417100243485939,1.0660231572039458,219.4911642393141,4.6399999999999455
14.880000000000011,13.83572703858903,2.532626053479044,-46.54051487132138,11.520009880948576,1.070297727720292,219.49117333534429,4.649999999999945
14.912000000000011,13.899773141840088,2.468585948220597,-46.72003620029901,11.629806602665989,1.0752521763436107,219.4911836333748,4.659999999999945
14.944000000000011,13.95483282452839,2.4135324561805835,-46.89534210299925,11.73183736769021,1.079511457630812,219.49119227427022,4.669999999999945
14.976000000000012,14.014523018585697,2.3538485504990647,-47.07240369233444,11.838754004995629,1.084128943859655,219.49120142205396,4.679999999999945
15.008000000000012,14.074541220173234,2.2938367758586886,-47.250534150963496,11.94539969920234,1.0887718039422396,219.4912103888756,4.689999999999944
15.040000000000012,14.135293588244702,2.233090969315816,-47.428879562881,12.052761383998275,1.0934714573337212,219.49121922930837,4.699999999999944
15.072000000000012,14.19482654937119,2.173564711000663,-47.606840139235665,12.159015493760915,1.0980767804107396,219.49122766163154,4.709999999999944
15.104000000000012,14.255004128094978,2.113393966845548,-47.784786362978764,12.265211504936957,1.102731969515594,219.4912359534687,4.719999999999944
15.136000000000012,14.314283774378564,2.0541212947044274,-47.962460198838045,12.371825539023082,1.1073176967809863,219.49124389351482,4.729999999999944
15.168000000000012,14.36909470944492,1.9993174880250448,-48.13766592620148,12.474183957158502,1.111557735565513,219.4912510330633,4.739999999999943
15.200000000000012,14.430201368521784,1.9382180543959113,-48.31612034153513,12.581707270809545,1.1162847960355655,219.49125876569457,4.749999999999943
15.232000000000012,14.490980930712286,1.8774458584563936,-48.49517427630281,12.689050800919496,1.1209865530970406,219.4912662184345,4.759999999999943
15.264000000000012,14.552139170765024,1.816295119762556,-48.674146709752684,12.796783516593962,1.1257176037441987,219.49127347762987,4.769999999999943
15.296000000000012,14.611871192021402,1.7565707408776075,-48.85252761741833,12.903206272130221,1.1303383256220252,219.4912803349052,4.7799999999999425
15.328000000000012,14.67165030863868,1.6967994022772461,-49.03030471283589,13.009600986517183,1.1349626906808434,219.4912869676415,4.789999999999942
15.360000000000012,14.731375250080609,1.6370823702880428,-49.20868572608699,13.115986392448214,1.139582864881681,219.49129336463437,4.799999999999942
15.392000000000012,14.790794876110072,1.5776707889126291,-49.38638866659931,13.222110195010838,1.1441794206350542,219.49129950101255,4.809999999999942
