t [s],uRight_1 [N*cm],uRight_2 [N*cm],uLeft_1 [N*cm],uLeft_2 [N*cm],x_CoM [mm],y_CoM [mm],F_dist [N]
0.032,1.7785302227238091,19.664832108419503,-1.4046345277017025,-19.598997624466485,0.13758271254947235,219.47276274722256,0.01
0.064,-18.150000901764972,27.402407821636075,18.434669850027497,-27.338936226919074,-1.4040393156861064,219.47308409322247,0.02
0.096,-37.38374946112513,33.31484189892595,39.096140631666145,-33.890127125840266,-2.891914677870613,219.46375229585243,0.03
0.128,-47.29179926010302,38.42848166675564,51.43334085409713,-40.05734559808726,-3.6583769791583216,219.4499488594464,0.04
0.16,-49.80262098496136,41.51116400204439,55.85313412809241,-43.96171773470941,-3.8526079566365157,219.44233173904388,0.05
0.192,-47.29024898435179,40.46452183449523,55.853125343289655,-43.9617134942491,-3.65825705364886,219.44580666302545,0.060000000000000005
0.224,-40.07132305787068,37.085781659813414,51.17603093264108,-41.6238571386498,-3.099818744325161,219.45545331690508,0.07
0.256,-30.933339487932187,32.517749695280784,44.245633203031296,-37.94745616744619,-2.392926867695024,219.4658930917784,0.08
0.28800000000000003,-22.76263282891463,28.433042235858853,37.479951505061734,-34.421865019785194,-1.7608611477928644,219.472951962212,0.09
0.32000000000000006,-16.965363271063083,25.338500012850947,33.06575960573526,-31.885155880920525,-1.3123986696415681,219.47708566962356,0.09999999999999999
0.3520000000000001,-14.71871725092489,23.629142749961268,31.730848683408837,-30.550250013643826,-1.138603673278951,219.47948044122282,0.10999999999999999
0.3840000000000001,-14.465123555382819,23.50235530999661,31.699451204488398,-30.518844796737188,-1.1189862903003875,219.4795995102138,0.11999999999999998
0.41600000000000015,-14.60791331308681,23.645138302800834,32.76703679418229,-31.05254588200943,-1.1300321538669396,219.47938288799193,0.12999999999999998
0.4480000000000002,-15.28681135092669,24.07481146282625,34.595643501651665,-31.96668947872572,-1.1825500320548494,219.47886601469423,0.13999999999999999
0.4800000000000002,-16.391913813737744,24.70313428637975,36.64717456395724,-32.99226653333937,-1.2680380336283028,219.47814206178197,0.15
0.5120000000000002,-17.241988215974484,25.201810924261377,38.400090410601976,-33.86855525233243,-1.3337976932811397,219.47752517390785,0.16
0.5440000000000003,-17.536304371305008,25.418698684397445,39.53922329774265,-34.43800751575957,-1.3565652653359406,219.47721133416505,0.17
0.5760000000000003,-17.623117953118143,25.50550818732078,40.16044778739642,-34.748554026025566,-1.363280949961021,219.47706907673896,0.18000000000000002
0.6080000000000003,-17.65710802274078,25.53950004725586,40.425560906235624,-34.881078821746684,-1.3659103379346849,219.47701323930505,0.19000000000000003
0.6400000000000003,-17.657104399393727,25.539502094360312,40.50026168873486,-34.91374397002685,-1.3659100576414909,219.477013233064,0.20000000000000004
0.6720000000000004,-17.657090380763375,25.539497151813052,40.50027240934644,-34.91374518001521,-1.3659089731948142,219.47701323658478,0.21000000000000005
0.7040000000000004,-17.647091336006234,25.5345003458248,40.497947200773176,-34.911411751979195,-1.3651354717479371,219.4770189112157,0.22000000000000006
0.7360000000000004,-17.58040338382805,25.50116164256022,40.4896002107142,-34.90305757305467,-1.3599766562058584,219.4770567031107,0.23000000000000007
0.7680000000000005,-17.48927735780427,25.455604986891284,40.47597461049476,-34.889425416505475,-1.352927371530221,219.47710811439876,0.24000000000000007
0.8000000000000005,-17.358048636199804,25.389998725010944,40.455086331668554,-34.86853129510751,-1.3427758412092512,219.47718168344505,0.25000000000000006
0.8320000000000005,-17.218436239783486,25.32020088804362,40.43544608267043,-34.8488856741471,-1.33197577047721,219.47725934457003,0.26000000000000006
0.8640000000000005,-17.052763200244158,25.237373768824845,40.41055317796017,-34.82398789382307,-1.3191597126532233,219.4773506894563,0.2700000000000001
0.8960000000000006,-16.88772269773263,25.154862754062083,40.38575483977452,-34.79918496031388,-1.3063925863340042,219.47744080752335,0.2800000000000001
0.9280000000000006,-16.70443487526111,25.06322871743203,40.358162958494724,-34.77158888159894,-1.2922138923367226,219.47753986270175,0.2900000000000001
0.9600000000000006,-16.526613429891338,24.974327489016378,40.330037953139566,-34.74345984667901,-1.278458063793099,219.47763493050454,0.3000000000000001
0.9920000000000007,-16.33555958437511,24.878810429764613,40.302660053318185,-34.71607829967284,-1.2636786094024537,219.47773593929796,0.3100000000000001
1.0240000000000007,-16.153180219527147,24.787630096901697,40.275011419252984,-34.688426122687815,-1.249570191446866,219.47783126610722,0.3200000000000001
1.0560000000000007,-15.958285334582284,24.69019234868134,40.244396935127945,-34.65780838997087,-1.2344936037172147,219.47793195197312,0.3300000000000001
1.0880000000000007,-15.773524781233196,24.59782117054256,40.21771543757222,-34.63112380095452,-1.2202009828906883,219.4780262736788,0.34000000000000014
1.1200000000000008,-15.578422225444191,24.50027923393708,40.18825096313961,-34.60165649529892,-1.2051083302566066,219.47812468299932,0.35000000000000014
1.1520000000000008,-15.392348159001251,24.407251027106174,40.158674520782746,-34.572077314960204,-1.1907140992959862,219.47821739717327,0.36000000000000015
1.1840000000000008,-15.196724121083774,24.3094480055772,40.13044548997188,-34.54384587441595,-1.1755811060903112,219.47831366877696,0.37000000000000016
1.2160000000000009,-15.010594440312966,24.216391650445736,40.100780450764105,-34.51417848072223,-1.1611825729424199,219.47840412468716,0.38000000000000017
1.2480000000000009,-14.815131780077204,24.11866895680359,40.07251824602853,-34.485914248731106,-1.1460620635162788,219.4784979165944,0.3900000000000002
1.280000000000001,-14.62946442857413,24.025843397594908,40.04404798282245,-34.45744202909478,-1.1316992950205331,219.47858586972052,0.4000000000000002
1.312000000000001,-14.43349014857264,23.9278645767344,40.01302159963262,-34.42641395899548,-1.1165392079508616,219.4786775023526,0.4100000000000002
1.344000000000001,-14.247617917269418,23.834936232026877,39.98581949408657,-34.39921031110102,-1.1021605904589666,219.4787632696496,0.4200000000000002
1.376000000000001,-14.05245503328198,23.737362718421338,39.956062958003216,-34.3694524824872,-1.0870632709842112,219.47885212777598,0.4300000000000002
1.408000000000001,-13.865512282055331,23.643898827913578,39.9260016803297,-34.33939000196812,-1.072601840710716,219.47893609400856,0.4400000000000002
1.440000000000001,-13.670008801278508,23.54615466506404,39.89748043647378,-34.31086787681411,-1.0574781735081737,219.4790227026809,0.45000000000000023
1.472000000000001,-13.483113533789584,23.452714171812442,39.86732562276789,-34.280712237109334,-1.0430204164595442,219.47910434804007,0.46000000000000024
1.5040000000000011,-13.287363988727602,23.35484664198651,39.837367180085295,-34.25075326793128,-1.0278777143306443,219.47918865657778,0.47000000000000025
1.5360000000000011,-13.100806479488478,23.261574655908102,39.809761360998294,-34.22314704377739,-1.013446085427379,219.47926785871857,0.48000000000000026
1.5680000000000012,-12.904762101639623,23.16355937526592,39.77836747647895,-34.1917529869357,-0.9982805757610823,219.47934988190116,0.49000000000000027
1.6000000000000012,-12.780369519172119,23.101367572906277,39.76003437943607,-34.17341869931118,-0.9886578723072702,219.4794012849757,0.5000000000000002
1.6320000000000012,-12.65046026008792,23.036417523239862,39.73958008201278,-34.15296331712913,-0.9786084123533522,219.47945443633975,0.5100000000000002
1.6640000000000013,-12.523761739189403,22.973072675334645,39.718114333264545,-34.131496613873395,-0.9688073271884752,219.47950575099594,0.5200000000000002
1.6960000000000013,-12.378985381869327,22.900689342832298,39.69667388360891,-34.11005563713295,-0.9576077851741579,219.4795637553878,0.5300000000000002
1.7280000000000013,-12.236189006753087,22.829295865038734,39.67263805703809,-34.086019420358696,-0.9465614097009111,219.47962030585356,0.5400000000000003
1.7600000000000013,-12.077097740869846,22.749755295892665,39.64768788452482,-34.061069245394584,-0.9342545016576934,219.4796825369918,0.5500000000000003
1.7920000000000014,-11.92221147391231,22.672316983155294,39.624331678464245,-34.037713211204796,-0.9222728819627274,219.47974234095392,0.5600000000000003
1.8240000000000014,-11.752117748775465,22.587275258287846,39.59634976360624,-34.00973177408236,-0.909114850801395,219.47980712757865,0.5700000000000003
1.8560000000000014,-11.588299817708931,22.5053711102657,39.57158768017271,-33.98497034035083,-0.8964422995945571,219.47986864387968,0.5800000000000003
1.8880000000000015,-11.411339045101771,22.41689576629128,39.543714957159935,-33.957098568707714,-0.882753050573612,219.47993412547515,0.5900000000000003
1.9200000000000015,-11.240399209292715,22.33143059994293,39.515230757812326,-33.92861542500385,-0.8695295663770075,219.4799964223959,0.6000000000000003
1.9520000000000015,-11.058192403216868,22.24033207356774,39.48787282060213,-33.90125889476264,-0.855434497142537,219.48006179039663,0.6100000000000003
1.9840000000000015,-10.882923938312867,22.152702411617213,39.458657316820755,-33.87204486355513,-0.841876160872634,219.48012366126503,0.6200000000000003
2.0160000000000013,-10.715563314527866,22.06902597944306,39.43114994156658,-33.844539959208134,-0.8289295556926288,219.48018181891868,0.6300000000000003
2.0480000000000014,-10.565947217470988,21.994221188306007,39.40727753986717,-33.82067010399085,-0.8173556233460505,219.48023304767577,0.6400000000000003
2.0800000000000014,-10.412963625634923,21.91773257699677,39.38063528822311,-33.794030691178705,-0.8055211899068859,219.4802846848543,0.6500000000000004
2.1120000000000014,-10.260569969082505,21.84153873365826,39.356138031932524,-33.76953662399541,-0.7937323924066088,219.48033537444684,0.6600000000000004
2.1440000000000015,-10.108936813573003,21.765724957404505,39.33076450273961,-33.74416657798796,-0.7820024253917759,219.48038506960904,0.6700000000000004
2.1760000000000015,-9.955969832092682,21.689244146942823,39.30348846227496,-33.7168943083672,-0.7701692768887743,219.48043445245452,0.6800000000000004
2.2080000000000015,-9.805025489136153,21.613774411831034,39.27944006743763,-33.692850050980965,-0.7584925947145732,219.4804824445918,0.6900000000000004
2.2400000000000015,-9.653402745820923,21.53796534292925,39.25344547831419,-33.66685987064246,-0.7467634331614148,219.4805299145159,0.7000000000000004
2.2720000000000016,-9.501910769949392,21.46222148819111,39.22663626207371,-33.64005537331035,-0.7350443874552566,219.48057660494337,0.7100000000000004
2.3040000000000016,-9.350715188174496,21.386625644406497,39.20190916719037,-33.615333340838205,-0.7233482700655683,219.48062246798133,0.7200000000000004
2.3360000000000016,-9.199657647610282,21.311098663934565,39.17503634782146,-33.588465860759,-0.7116628312035583,219.48066755477896,0.7300000000000004
2.3680000000000017,-9.048701996599268,21.23562244683395,39.150233850480824,-33.56366904922339,-0.6999852742661452,219.48071187792956,0.7400000000000004
2.4000000000000017,-8.898397358707284,21.16047156021546,39.124541449224914,-33.53798262828527,-0.6883580780983595,219.48075528165768,0.7500000000000004
2.4320000000000017,-8.74656034097899,21.084554365295546,39.09692859164156,-33.51037603726725,-0.6766123408049627,219.48079838996048,0.7600000000000005
2.4640000000000017,-8.596403390599953,21.00947697712588,39.072479435173335,-33.48593351345987,-0.6649965693790121,219.4808402920358,0.7700000000000005
2.4960000000000018,-8.445420516893048,20.933986496874706,39.046068835035356,-33.45952981539536,-0.6533169065609705,219.4808816932512,0.7800000000000005
2.528000000000002,-8.294638586086139,20.85859631881689,39.018861930734495,-33.43233012288159,-0.6416527881901899,219.48092230755336,0.7900000000000005
2.560000000000002,-8.14372920668433,20.78314224293865,38.993665562145075,-33.407141306949754,-0.6299788107103693,219.48096222394585,0.8000000000000005
2.592000000000002,-7.993397212255518,20.707976687409555,38.96761059994235,-33.381094190498615,-0.61834949830835,219.48100125926024,0.8100000000000005
2.624000000000002,-7.841801612266976,20.63217919238476,38.940928216802284,-33.354419961617104,-0.6066224364960147,219.481039886465,0.8200000000000005
2.656000000000002,-7.691290721691933,20.556923862718143,38.91470838912215,-33.32820860056159,-0.5949792851292434,219.48107750600047,0.8300000000000005
2.688000000000002,-7.539940357672545,20.481248653466437,38.88787549728646,-33.30138447325011,-0.5832711941667814,219.48111460050086,0.8400000000000005
2.720000000000002,-7.388802119365668,20.4056793296382,38.86150329604423,-33.27502136545907,-0.5715795127263824,219.4811509077316,0.8500000000000005
2.752000000000002,-7.237281675136931,20.32991875409093,38.83450101287496,-33.248028462327234,-0.5598582647783077,219.48118656916068,0.8600000000000005
2.784000000000002,-7.082747830591712,20.2526513971826,38.80126802260301,-33.2184694779673,-0.5479039076121595,219.48122217891964,0.8700000000000006
2.816000000000002,-6.918361958480626,20.17045815597882,38.74712691509691,-33.17910936750693,-0.5351874218865378,219.48125921497052,0.8800000000000006
2.848000000000002,-6.746347756096245,20.084450809784276,38.67376030605859,-33.131379964433535,-0.5218808273408277,219.48129703838265,0.8900000000000006
2.880000000000002,-6.570763228054492,19.99665826118408,38.587246025526234,-33.07765350660935,-0.5082980412059334,219.4813346648268,0.9000000000000006
2.912000000000002,-6.397684242692628,19.91011832187183,38.49305040669125,-33.02115608995268,-0.4949090776746156,219.48137078365414,0.9100000000000006
2.944000000000002,-6.228236920634234,19.825394031167587,38.394091384608444,-32.962699761247094,-0.4818010506615381,219.48140521107976,0.9200000000000006
2.976000000000002,-6.062378454535923,19.742463988379004,38.29038097035148,-32.90285434056241,-0.46897064869617117,219.48143801486296,0.9300000000000006
3.0080000000000022,-5.906479328767576,19.664513345855262,38.188009483495,-32.84410305209391,-0.4569106767410974,219.48146804238553,0.9400000000000006
3.0400000000000023,-5.742114796926718,19.582330010876323,38.073659029489306,-32.780590607877826,-0.44419584184615996,219.4814988532221,0.9500000000000006
3.0720000000000023,-5.592109281928883,19.507325862173268,37.96407625855495,-32.718544349127065,-0.4325917850878916,219.48152621447042,0.9600000000000006
3.1040000000000023,-5.434536830232747,19.428538239269976,37.84440582421707,-32.6525996956254,-0.4204023687651129,219.48155417592292,0.9700000000000006
3.1360000000000023,-5.289566221934354,19.35605125933206,37.72882210117386,-32.58990501724083,-0.4091877999740953,219.4815791962378,0.9800000000000006
3.1680000000000024,-5.13719098228447,19.27986195081068,37.60412222288874,-32.52151797428604,-0.3974004271599858,219.48160476528597,0.9900000000000007
3.2000000000000024,-4.996830173038619,19.209679602044076,37.48376707518686,-32.457171484762384,-0.3865424610568805,219.4816276579404,1.0000000000000007
3.2320000000000024,-4.848566124037884,19.135545623775222,37.35455314885957,-32.38788687538785,-0.37507311981406,219.48165115079777,1.0100000000000007
3.2640000000000025,-4.712392759530967,19.067456743336685,37.230441463518474,-32.32080061979875,-0.36453908411060293,219.4816721054597,1.0200000000000007
3.2960000000000025,-4.566689122066345,18.994602734550536,37.09657879606411,-32.25051670948241,-0.3532678099907813,219.48169386543586,1.0300000000000007
3.3280000000000025,-4.433465828219078,18.927988658461544,36.96874901861699,-32.182077230225474,-0.34296198447930293,219.48171316451942,1.0400000000000007
3.3600000000000025,-4.290755626516248,18.856631129486594,36.83178474682449,-32.10999056817855,-0.33192227516883205,219.481733203877,1.0500000000000007
3.3920000000000026,-4.1589005357334266,18.790700946394775,36.69984037996399,-32.04140493048321,-0.321722290472719,219.48175113725915,1.0600000000000007
3.4240000000000026,-4.0182827322587364,18.720389390738614,36.55985155697587,-31.967477484586666,-0.31084444392976446,219.48176964557115,1.0700000000000007
3.4560000000000026,-3.8888613672009105,18.655675851593575,36.42535251982389,-31.898018200169908,-0.3008327262546827,219.4817861187119,1.0800000000000007
3.4880000000000027,-3.7502875752882066,18.586386080728346,36.283056774223,-31.823973092891688,-0.2901129994060617,219.48180315882342,1.0900000000000007
3.5200000000000027,-3.6179002226433754,18.520189375027087,36.14298345402061,-31.750684960382287,-0.2798718402447491,219.48181886158793,1.1000000000000008
3.5520000000000027,-3.486398819448519,18.454435539155263,36.00271505406876,-31.678593822995794,-0.2696992159483219,219.48183390114295,1.1100000000000008
3.5840000000000027,-3.356590416446427,18.38952809173836,35.86188487949069,-31.6058858924693,-0.25965755797222567,219.48184820158153,1.1200000000000008
3.6160000000000028,-3.2262811323864313,18.324370113306323,35.71976706948344,-31.532378012100022,-0.24957715307255698,219.48186201194315,1.1300000000000008
3.648000000000003,-3.0972801826590635,18.259866196715862,35.57692657987656,-31.458879601717637,-0.23959795769078368,219.4818751456721,1.1400000000000008
3.680000000000003,-2.96829610345084,18.195370620755604,35.43349679746874,-31.384876225245346,-0.22962006737077242,219.4818877424367,1.1500000000000008
3.712000000000003,-2.8393654186551673,18.130901646624668,35.2884017607795,-31.310478611076814,-0.21964630751085662,219.48189979911143,1.1600000000000008
3.744000000000003,-2.7113261574936596,18.066878283276257,35.14370742633175,-31.236011537197893,-0.20974150598521754,219.4819112432605,1.1700000000000008
3.776000000000003,-2.5834274223106175,18.002925086850944,34.997613839989775,-31.1619690270624,-0.19984757520276472,219.48192214833244,1.1800000000000008
3.808000000000003,-2.4811631801568628,17.918483431880286,34.87448547209176,-31.064546664532212,-0.19193666559180408,219.48200205359157,1.1900000000000008
3.840000000000003,-2.346792335944755,17.851294161492813,34.71874857606031,-30.985242005117037,-0.18154206841371873,219.4820125007873,1.2000000000000008
3.872000000000003,-2.22047165573779,17.777464486731887,34.569774845322385,-30.898522567955645,-0.17177021207306453,219.48204467909704,1.2100000000000009
